target_id	target_type	target_name	target_organism_tax_id	target_organism	uniprot_id
NPT165	Cell Line	HeLa	9606	Homo sapiens	
NPT1653	Cell Line	WM-115	9606	Homo sapiens	
NPT1668	Cell Line	NCI-H157	9606	Homo sapiens	
NPT1669	Cell Line	NCI-H1792	9606	Homo sapiens	
NPT168	Cell Line	P388	10090	Mus musculus	
NPT169	Cell Line	B16-F10	10090	Mus musculus	
NPT170	Cell Line	SK-MEL-28	9606	Homo sapiens	
NPT171	Cell Line	MRC5	9606	Homo sapiens	
NPT1718	Cell Line	A431	9606	Homo sapiens	
NPT1719	Cell Line	2008	9606	Homo sapiens	
NPT1723	Cell Line	HBL-100	9606	Homo sapiens	
NPT1756	Cell Line	PRK			
NPT1759	Cell Line	FM3A	10090	Mus musculus	
NPT1761	Cell Line	Erythroleukemia cell line			
NPT1773	Cell Line	ME-180	9606	Homo sapiens	
NPT179	Cell Line	A2780	9606	Homo sapiens	
NPT180	Cell Line	HCT-8	9606	Homo sapiens	
NPT181	Cell Line	Bel-7402	9606	Homo sapiens	
NPT1820	Cell Line	NCI-H1650	9606	Homo sapiens	
NPT1840	Cell Line	MDR			
NPT1842	Cell Line	W256	10116	Rattus norvegicus	
NPT1851	Cell Line	Col2	9606	Homo sapiens	
NPT1855	Cell Line	HFL1	9606	Homo sapiens	
NPT1864	Cell Line	L5178Y	10090	Mus musculus	
NPT1868	Cell Line	L1210 (1565)			
NPT1872	Cell Line	Bcap37	9606	Homo sapiens	
NPT1884	Cell Line	HCC1937	9606	Homo sapiens	
NPT1886	Cell Line	J774	10090	Mus musculus	
NPT189	Cell Line	Vero	9534	Chlorocebus aethiops	
NPT1891	Cell Line	Hs68	9606	Homo sapiens	
NPT1892	Cell Line	H4	10116	Rattus norvegicus	
NPT1893	Cell Line	MEF	10090	Mus musculus	
NPT1899	Cell Line	DSH1	9606	Homo sapiens	
NPT1900	Cell Line	DU-4475	9606	Homo sapiens	
NPT1901	Cell Line	EM-2	9606	Homo sapiens	
NPT1902	Cell Line	ES1	9606	Homo sapiens	
NPT1903	Cell Line	ES5	9606	Homo sapiens	
NPT1904	Cell Line	ES3	9606	Homo sapiens	
NPT1905	Cell Line	ES4	9606	Homo sapiens	
NPT1906	Cell Line	EB-3	9606	Homo sapiens	
NPT1907	Cell Line	EB2	9606	Homo sapiens	
NPT1908	Cell Line	EC-GI-10	9606	Homo sapiens	
NPT1909	Cell Line	ECC12	9606	Homo sapiens	
NPT1910	Cell Line	ECC4	9606	Homo sapiens	
NPT1911	Cell Line	C2BBe1	9606	Homo sapiens	
NPT1912	Cell Line	COLO-800	9606	Homo sapiens	
NPT1913	Cell Line	DJM-1	9606	Homo sapiens	
NPT1914	Cell Line	COLO-824	9606	Homo sapiens	
NPT1915	Cell Line	COLO-829	9606	Homo sapiens	
NPT1916	Cell Line	ACN	9606	Homo sapiens	
NPT1917	Cell Line	CA46	9606	Homo sapiens	
NPT1918	Cell Line	DMS-79	9606	Homo sapiens	
NPT1919	Cell Line	DOHH-2	9606	Homo sapiens	
NPT1920	Cell Line	ALL-PO	9606	Homo sapiens	
NPT1921	Cell Line	COR-L279	9606	Homo sapiens	
NPT1922	Cell Line	COR-L88	9606	Homo sapiens	
NPT1923	Cell Line	DMS-153	9606	Homo sapiens	
NPT1924	Cell Line	AM-38	9606	Homo sapiens	
NPT1925	Cell Line	CAL-148	9606	Homo sapiens	
NPT1926	Cell Line	CP66-MEL	9606	Homo sapiens	
NPT1927	Cell Line	ARH-77	9606	Homo sapiens	
NPT1928	Cell Line	ATN-1	9606	Homo sapiens	
NPT1929	Cell Line	CPC-N	9606	Homo sapiens	
NPT1930	Cell Line	CTB-1	9606	Homo sapiens	
NPT1931	Cell Line	BB30-HNC	9606	Homo sapiens	
NPT1932	Cell Line	CTV-1	9606	Homo sapiens	
NPT1933	Cell Line	CW-2	9606	Homo sapiens	
NPT1934	Cell Line	BB49-HNC	9606	Homo sapiens	
NPT1935	Cell Line	BB65-RCC	9606	Homo sapiens	
NPT1936	Cell Line	BC-3	9606	Homo sapiens	
NPT1937	Cell Line	CAS-1	9606	Homo sapiens	
NPT1938	Cell Line	Calu-6	9606	Homo sapiens	
NPT1939	Cell Line	8-MG-BA	9606	Homo sapiens	
NPT1940	Cell Line	BE-13	9606	Homo sapiens	
NPT1941	Cell Line	A101D	9606	Homo sapiens	
NPT1942	Cell Line	CESS	9606	Homo sapiens	
NPT1943	Cell Line	CGTH-W-1	9606	Homo sapiens	
NPT1944	Cell Line	D-247MG	9606	Homo sapiens	
NPT1945	Cell Line	CHP-126	9606	Homo sapiens	
NPT1946	Cell Line	D-263MG	9606	Homo sapiens	
NPT1947	Cell Line	D283 Med			
NPT1948	Cell Line	A253 cell line			
NPT1949	Cell Line	BL-41	9606	Homo sapiens	
NPT1950	Cell Line	BL-70	9606	Homo sapiens	
NPT1951	Cell Line	CMK	9606	Homo sapiens	
NPT1952	Cell Line	COLO-320-HSR	9606	Homo sapiens	
NPT1953	Cell Line	D-336MG	9606	Homo sapiens	
NPT1954	Cell Line	D-392MG	9606	Homo sapiens	
NPT1955	Cell Line	A3-KAW	9606	Homo sapiens	
NPT1956	Cell Line	COLO-668	9606	Homo sapiens	
NPT1957	Cell Line	D-502MG	9606	Homo sapiens	
NPT1958	Cell Line	A388	9606	Homo sapiens	
NPT1959	Cell Line	A4-Fuk	9606	Homo sapiens	
NPT196	Cell Line	AGS	9606	Homo sapiens	
NPT1960	Cell Line	BV-173	9606	Homo sapiens	
NPT1961	Cell Line	D-542MG	9606	Homo sapiens	
NPT1962	Cell Line	DB	9606	Homo sapiens	
NPT1963	Cell Line	Becker	9606	Homo sapiens	
NPT1964	Cell Line	COLO-684	9606	Homo sapiens	
NPT1965	Cell Line	DEL	9606	Homo sapiens	
NPT1966	Cell Line	NCI-H1838	9606	Homo sapiens	
NPT1967	Cell Line	NCI-H526	9606	Homo sapiens	
NPT1968	Cell Line	OMC-1	9606	Homo sapiens	
NPT1969	Cell Line	TGW	9606	Homo sapiens	
NPT1970	Cell Line	THP-1	9606	Homo sapiens	
NPT1971	Cell Line	GI-1	9606	Homo sapiens	
NPT1972	Cell Line	GI-ME-N	9606	Homo sapiens	
NPT1973	Cell Line	IST-SL1	9606	Homo sapiens	
NPT1974	Cell Line	IST-SL2	9606	Homo sapiens	
NPT1975	Cell Line	KS-1	9606	Homo sapiens	
NPT1976	Cell Line	LNCaP-Clone-FGC	9606	Homo sapiens	
NPT1977	Cell Line	LOUCY	9606	Homo sapiens	
NPT1978	Cell Line	MFM-223	9606	Homo sapiens	
NPT1979	Cell Line	NB13	9606	Homo sapiens	
NPT1980	Cell Line	NB14	9606	Homo sapiens	
NPT1981	Cell Line	NCI-H1882	9606	Homo sapiens	
NPT1982	Cell Line	NCI-H1963	9606	Homo sapiens	
NPT1983	Cell Line	NCI-H64	9606	Homo sapiens	
NPT1984	Cell Line	ONS-76	9606	Homo sapiens	
NPT1985	Cell Line	OPM-2	9606	Homo sapiens	
NPT1986	Cell Line	RPMI 8402	9606	Homo sapiens	
NPT1987	Cell Line	RPMI-8866	9606	Homo sapiens	
NPT1988	Cell Line	SW684	9606	Homo sapiens	
NPT1989	Cell Line	GOTO	9606	Homo sapiens	
NPT1990	Cell Line	J-RT3-T3-5	9606	Homo sapiens	
NPT1991	Cell Line	KU812 cell line			
NPT1992	Cell Line	KURAMOCHI	9606	Homo sapiens	
NPT1993	Cell Line	LP-1	9606	Homo sapiens	
NPT1994	Cell Line	MHH-CALL-2	9606	Homo sapiens	
NPT1995	Cell Line	NB17	9606	Homo sapiens	
NPT1996	Cell Line	NB5	9606	Homo sapiens	
NPT1997	Cell Line	OS-RC-2	9606	Homo sapiens	
NPT1998	Cell Line	RS4-11	9606	Homo sapiens	
NPT1999	Cell Line	TUR	9606	Homo sapiens	
NPT2000	Cell Line	GR-ST	9606	Homo sapiens	
NPT2001	Cell Line	JAR	9606	Homo sapiens	
NPT2002	Cell Line	KY821	9606	Homo sapiens	
NPT2003	Cell Line	LS-1034	9606	Homo sapiens	
NPT2004	Cell Line	LS-123	9606	Homo sapiens	
NPT2005	Cell Line	MHH-NB-11	9606	Homo sapiens	
NPT2006	Cell Line	MHH-PREB-1	9606	Homo sapiens	
NPT2007	Cell Line	NB6	9606	Homo sapiens	
NPT2008	Cell Line	NB69	9606	Homo sapiens	
NPT2009	Cell Line	NCI-H2081	9606	Homo sapiens	
NPT2010	Cell Line	NCI-H716	9606	Homo sapiens	
NPT2011	Cell Line	NCI-H719	9606	Homo sapiens	
NPT2012	Cell Line	NCI-H720	9606	Homo sapiens	
NPT2013	Cell Line	SK-MM-2	9606	Homo sapiens	
NPT2014	Cell Line	SW872	9606	Homo sapiens	
NPT2015	Cell Line	U-266	9606	Homo sapiens	
NPT2016	Cell Line	ES6	9606	Homo sapiens	
NPT2017	Cell Line	ES7	9606	Homo sapiens	
NPT2018	Cell Line	GT3TKB	9606	Homo sapiens	
NPT2019	Cell Line	JVM-2	9606	Homo sapiens	
NPT2020	Cell Line	JVM-3	9606	Homo sapiens	
NPT2021	Cell Line	LS-411N	9606	Homo sapiens	
NPT2022	Cell Line	LS-513	9606	Homo sapiens	
NPT2023	Cell Line	NB7	9606	Homo sapiens	
NPT2024	Cell Line	NCI-H209	9606	Homo sapiens	
NPT2025	Cell Line	NCI-H747	9606	Homo sapiens	
NPT2026	Cell Line	Ramos-2G6-4C10	9606	Homo sapiens	
NPT2027	Cell Line	SK-N-DZ	9606	Homo sapiens	
NPT2028	Cell Line	SK-N-FI	9606	Homo sapiens	
NPT2029	Cell Line	SW 954	9606	Homo sapiens	
NPT2030	Cell Line	U-698-M	9606	Homo sapiens	
NPT2031	Cell Line	ES8	9606	Homo sapiens	
NPT2032	Cell Line	HAL-01	9606	Homo sapiens	
NPT2033	Cell Line	JIYOYE	9606	Homo sapiens	
NPT2034	Cell Line	LU-134-A	9606	Homo sapiens	
NPT2035	Cell Line	NCCIT	9606	Homo sapiens	
NPT2036	Cell Line	NCI-H1092	9606	Homo sapiens	
NPT2037	Cell Line	NCI-H2107	9606	Homo sapiens	
NPT2038	Cell Line	NCI-H748	9606	Homo sapiens	
NPT2039	Cell Line	NCI-H82	9606	Homo sapiens	
NPT2040	Cell Line	P30-OHK	9606	Homo sapiens	
NPT2041	Cell Line	P31-FUJ	9606	Homo sapiens	
NPT2042	Cell Line	SBC-1	9606	Homo sapiens	
NPT2043	Cell Line	SK-NEP-1	9606	Homo sapiens	
NPT2044	Cell Line	SW 962	9606	Homo sapiens	
NPT2045	Cell Line	ETK-1	9606	Homo sapiens	
NPT2046	Cell Line	EVSA-T	9606	Homo sapiens	
NPT2047	Cell Line	HC-1	9606	Homo sapiens	
NPT2048	Cell Line	HCC1187	9606	Homo sapiens	
NPT2049	Cell Line	HT	9606	Homo sapiens	
NPT2050	Cell Line	K052	9606	Homo sapiens	
NPT2051	Cell Line	K5	9606	Homo sapiens	
NPT2052	Cell Line	KALS-1	9606	Homo sapiens	
NPT2053	Cell Line	LU-139	9606	Homo sapiens	
NPT2054	Cell Line	LU-165	9606	Homo sapiens	
NPT2055	Cell Line	ML-2	9606	Homo sapiens	
NPT2056	Cell Line	MLMA	9606	Homo sapiens	
NPT2057	Cell Line	NCI-H1155	9606	Homo sapiens	
NPT2058	Cell Line	NCI-H128	9606	Homo sapiens	
NPT2059	Cell Line	NCI-H2141	9606	Homo sapiens	
NPT2060	Cell Line	NCI-H2171	9606	Homo sapiens	
NPT2061	Cell Line	NCI-H889	9606	Homo sapiens	
NPT2062	Cell Line	SCC-15	9606	Homo sapiens	
NPT2063	Cell Line	SK-PN-DW	9606	Homo sapiens	
NPT2064	Cell Line	UACC-812	9606	Homo sapiens	
NPT2065	Cell Line	EW-1	9606	Homo sapiens	
NPT2066	Cell Line	EW-11	9606	Homo sapiens	
NPT2067	Cell Line	KARPAS-299	9606	Homo sapiens	
NPT2068	Cell Line	L-363	9606	Homo sapiens	
NPT2069	Cell Line	Lu-65	9606	Homo sapiens	
NPT2070	Cell Line	LXF-289 cell line			
NPT2071	Cell Line	MMAC-SF	9606	Homo sapiens	
NPT2072	Cell Line	MN-60	9606	Homo sapiens	
NPT2073	Cell Line	NCI-H1304	9606	Homo sapiens	
NPT2074	Cell Line	NCI-H1355	9606	Homo sapiens	
NPT2075	Cell Line	NCI-H2196	9606	Homo sapiens	
NPT2076	Cell Line	NCI-H2227	9606	Homo sapiens	
NPT2077	Cell Line	SCC-3	9606	Homo sapiens	
NPT2078	Cell Line	SK-UT-1	9606	Homo sapiens	
NPT2079	Cell Line	EW-12	9606	Homo sapiens	
NPT2080	Cell Line	EW-13	9606	Homo sapiens	
NPT2081	Cell Line	HCC1599	9606	Homo sapiens	
NPT2082	Cell Line	HT-144	9606	Homo sapiens	
NPT2083	Cell Line	KARPAS-422	9606	Homo sapiens	
NPT2084	Cell Line	KARPAS-45	9606	Homo sapiens	
NPT2085	Cell Line	Kasumi 1			
NPT2086	Cell Line	L-428	9606	Homo sapiens	
NPT2087	Cell Line	L-540	9606	Homo sapiens	
NPT2088	Cell Line	MOLT-16	9606	Homo sapiens	
NPT2089	Cell Line	NCI-H1395	9606	Homo sapiens	
NPT2090	Cell Line	SNU-16	9606	Homo sapiens	
NPT2091	Cell Line	SNU-5	9606	Homo sapiens	
NPT2092	Cell Line	NEC8	9606	Homo sapiens	
NPT2093	Cell Line	PF-382	9606	Homo sapiens	
NPT2094	Cell Line	SKM-1	9606	Homo sapiens	
NPT2095	Cell Line	TALL-1	9606	Homo sapiens	
NPT2096	Cell Line	VA-ES-BJ	9606	Homo sapiens	
NPT2097	Cell Line	EW-16	9606	Homo sapiens	
NPT2098	Cell Line	EW-18	9606	Homo sapiens	
NPT2099	Cell Line	KE-37	9606	Homo sapiens	
NPT2100	Cell Line	KG-1			
NPT2101	Cell Line	LAN-6	9606	Homo sapiens	
NPT2102	Cell Line	MC-CAR	9606	Homo sapiens	
NPT2103	Cell Line	MONO-MAC-6	9606	Homo sapiens	
NPT2104	Cell Line	NCI-H1417	9606	Homo sapiens	
NPT2105	Cell Line	NCI-H1436	9606	Homo sapiens	
NPT2106	Cell Line	NH-12	9606	Homo sapiens	
NPT2107	Cell Line	PSN1	9606	Homo sapiens	
NPT2108	Cell Line	QIMR-WIL	9606	Homo sapiens	
NPT2109	Cell Line	SCH	9606	Homo sapiens	
NPT2110	Cell Line	SCLC-21H	9606	Homo sapiens	
NPT2111	Cell Line	SF-126	9606	Homo sapiens	
NPT2112	Cell Line	TE-1	9606	Homo sapiens	
NPT2113	Cell Line	EW-24	9606	Homo sapiens	
NPT2114	Cell Line	EW-3	9606	Homo sapiens	
NPT2115	Cell Line	HCC2157	9606	Homo sapiens	
NPT2116	Cell Line	HCC2218	9606	Homo sapiens	
NPT2117	Cell Line	HuTu80	9606	Homo sapiens	
NPT2118	Cell Line	KGN	9606	Homo sapiens	
NPT2119	Cell Line	KINGS-1	9606	Homo sapiens	
NPT2120	Cell Line	LB1047-RCC	9606	Homo sapiens	
NPT2121	Cell Line	LB2241-RCC	9606	Homo sapiens	
NPT2122	Cell Line	MC116	9606	Homo sapiens	
NPT2123	Cell Line	MPP-89	9606	Homo sapiens	
NPT2124	Cell Line	MRK-nu-1	9606	Homo sapiens	
NPT2125	Cell Line	NCI-H1522	9606	Homo sapiens	
NPT2126	Cell Line	NKM-1	9606	Homo sapiens	
NPT2127	Cell Line	NMC-G1	9606	Homo sapiens	
NPT2128	Cell Line	RCC10RGB	9606	Homo sapiens	
NPT2129	Cell Line	SNU-C1	9606	Homo sapiens	
NPT2130	Cell Line	TE-10	9606	Homo sapiens	
NPT2131	Cell Line	WSU-NHL	9606	Homo sapiens	
NPT2132	Cell Line	EOL1	9606	Homo sapiens	
NPT2133	Cell Line	KM-H2	9606	Homo sapiens	
NPT2134	Cell Line	LB2518-MEL	9606	Homo sapiens	
NPT2135	Cell Line	LB373-MEL-D	9606	Homo sapiens	
NPT2136	Cell Line	MDA-MB-134-VI	9606	Homo sapiens	
NPT2137	Cell Line	MS-1	9606	Homo sapiens	
NPT2138	Cell Line	MSTO-211H	9606	Homo sapiens	
NPT2139	Cell Line	NCI-H1581	9606	Homo sapiens	
NPT2140	Cell Line	NOMO-1	9606	Homo sapiens	
NPT2141	Cell Line	NOS-1	9606	Homo sapiens	
NPT2142	Cell Line	REH	9606	Homo sapiens	
NPT2143	Cell Line	ST486	9606	Homo sapiens	
NPT2144	Cell Line	TE-12	9606	Homo sapiens	
NPT2145	Cell Line	TE-15	9606	Homo sapiens	
NPT2146	Cell Line	YT	9606	Homo sapiens	
NPT2147	Cell Line	LB647-SCLC	9606	Homo sapiens	
NPT2148	Cell Line	LB771-HNC	9606	Homo sapiens	
NPT2149	Cell Line	MZ1-PC	9606	Homo sapiens	
NPT2150	Cell Line	NCI-H1648	9606	Homo sapiens	
NPT2151	Cell Line	NCI-H345	9606	Homo sapiens	
NPT2152	Cell Line	NTERA-2-cl-D1	9606	Homo sapiens	
NPT2153	Cell Line	RH-1	9606	Homo sapiens	
NPT2154	Cell Line	SH-4	9606	Homo sapiens	
NPT2155	Cell Line	SHP77	9606	Homo sapiens	
NPT2156	Cell Line	SU-DHL-1	9606	Homo sapiens	
NPT2157	Cell Line	SUP-T1	9606	Homo sapiens	
NPT2158	Cell Line	TE-441-T	9606	Homo sapiens	
NPT2159	Cell Line	TE-5	9606	Homo sapiens	
NPT2160	Cell Line	no-10	9606	Homo sapiens	
NPT2161	Cell Line	no-11	9606	Homo sapiens	
NPT2162	Cell Line	HCE-T	9606	Homo sapiens	
NPT2163	Cell Line	KMOE-2	9606	Homo sapiens	
NPT2164	Cell Line	KMS-12-PE	9606	Homo sapiens	
NPT2165	Cell Line	KNS-42	9606	Homo sapiens	
NPT2166	Cell Line	LB831-BLC	9606	Homo sapiens	
NPT2167	Cell Line	LB996-RCC	9606	Homo sapiens	
NPT2168	Cell Line	MZ2-MEL	9606	Homo sapiens	
NPT2169	Cell Line	MZ7-mel	9606	Homo sapiens	
NPT2170	Cell Line	RKO	9606	Homo sapiens	
NPT2171	Cell Line	SIG-M5	9606	Homo sapiens	
NPT2172	Cell Line	SIMA	9606	Homo sapiens	
NPT2173	Cell Line	TE-6	9606	Homo sapiens	
NPT2174	Cell Line	TE-8	9606	Homo sapiens	
NPT2175	Cell Line	GAK	9606	Homo sapiens	
NPT2176	Cell Line	HD-MY-Z	9606	Homo sapiens	
NPT2177	Cell Line	HDLM-2	9606	Homo sapiens	
NPT2178	Cell Line	KNS-81-FD	9606	Homo sapiens	
NPT2179	Cell Line	LC-1F	9606	Homo sapiens	
NPT2180	Cell Line	LC-2-ad	9606	Homo sapiens	
NPT2181	Cell Line	MEG-01	9606	Homo sapiens	
NPT2182	Cell Line	Mo	9606	Homo sapiens	
NPT2183	Cell Line	NCI-H1694	9606	Homo sapiens	
NPT2184	Cell Line	NCI-H510A	9606	Homo sapiens	
NPT2185	Cell Line	OCI-AML2	9606	Homo sapiens	
NPT2186	Cell Line	RL	9606	Homo sapiens	
NPT2187	Cell Line	RL95-2	9606	Homo sapiens	
NPT2188	Cell Line	SJSA-1	9606	Homo sapiens	
NPT2189	Cell Line	TE-9	9606	Homo sapiens	
NPT2190	Cell Line	GB-1	9606	Homo sapiens	
NPT2191	Cell Line	GCIY	9606	Homo sapiens	
NPT2192	Cell Line	HEL	9606	Homo sapiens	
NPT2193	Cell Line	IM-9	9606	Homo sapiens	
NPT2194	Cell Line	IMR-5	9606	Homo sapiens	
NPT2195	Cell Line	LC4-1	9606	Homo sapiens	
NPT2196	Cell Line	NB1	9606	Homo sapiens	
NPT2197	Cell Line	NCI-H1770	9606	Homo sapiens	
NPT2198	Cell Line	NCI-H524	9606	Homo sapiens	
NPT2199	Cell Line	OCUB-M	9606	Homo sapiens	
NPT2200	Cell Line	RPMI-6666	9606	Homo sapiens	
NPT2201	Cell Line	SK-LMS-1	9606	Homo sapiens	
NPT2202	Cell Line	TGBC1TKB	9606	Homo sapiens	
NPT2203	Cell Line	GDM-1	9606	Homo sapiens	
NPT2204	Cell Line	HH	9606	Homo sapiens	
NPT2205	Cell Line	IST-MEL1	9606	Homo sapiens	
NPT2206	Cell Line	IST-MES1	9606	Homo sapiens	
NPT2207	Cell Line	KP-N-YN	9606	Homo sapiens	
NPT2208	Cell Line	KP-N-YS	9606	Homo sapiens	
NPT2209	Cell Line	MFH-ino	9606	Homo sapiens	
NPT2210	Cell Line	NB10	9606	Homo sapiens	
NPT2211	Cell Line	NB12	9606	Homo sapiens	
NPT2218	Cell Line	P19	10090	Mus musculus	
NPT2219	Cell Line	C2C12	10090	Mus musculus	
NPT2224	Cell Line	TERT-RPE1	9606	Homo sapiens	
NPT2245	Cell Line	SiHa	9606	Homo sapiens	
NPT2246	Cell Line	T-cells			
NPT2251	Cell Line	ADR5000 cell line			
NPT2257	Cell Line	MCF-10A	9606	Homo sapiens	
NPT2268	Cell Line	DOK	9606	Homo sapiens	
NPT2269	Cell Line	EPLC-272H	9606	Homo sapiens	
NPT2270	Cell Line	Detroit562	9606	Homo sapiens	
NPT2271	Cell Line	DoTc2-4510	9606	Homo sapiens	
NPT2272	Cell Line	EFM-19	9606	Homo sapiens	
NPT2273	Cell Line	EFO-21	9606	Homo sapiens	
NPT2274	Cell Line	EFO-27	9606	Homo sapiens	
NPT2275	Cell Line	EGI-1	9606	Homo sapiens	
NPT2276	Cell Line	A673	9606	Homo sapiens	
NPT2277	Cell Line	C-33-A	9606	Homo sapiens	
NPT2278	Cell Line	COLO-741	9606	Homo sapiens	
NPT2279	Cell Line	COLO-792	9606	Homo sapiens	
NPT2280	Cell Line	A704	9606	Homo sapiens	
NPT2281	Cell Line	ABC-1	9606	Homo sapiens	
NPT2282	Cell Line	C32	9606	Homo sapiens	
NPT2283	Cell Line	DK-MG	9606	Homo sapiens	
NPT2284	Cell Line	C3A	9606	Homo sapiens	
NPT2285	Cell Line	COR-L105	9606	Homo sapiens	
NPT2286	Cell Line	CAL-120	9606	Homo sapiens	
NPT2287	Cell Line	COR-L23	9606	Homo sapiens	
NPT2288	Cell Line	AN3-CA	9606	Homo sapiens	
NPT2289	Cell Line	CAL-12T	9606	Homo sapiens	
NPT2290	Cell Line	CAL-27	9606	Homo sapiens	
NPT2291	Cell Line	CP50-MEL-B	9606	Homo sapiens	
NPT2292	Cell Line	CAL-33	9606	Homo sapiens	
NPT2293	Cell Line	CAL-39	9606	Homo sapiens	
NPT2294	Cell Line	23132-87	9606	Homo sapiens	
NPT2295	Cell Line	5637	9606	Homo sapiens	
NPT2296	Cell Line	AU565	9606	Homo sapiens	
NPT2297	Cell Line	ASPC1	9606	Homo sapiens	
NPT2298	Cell Line	BALL-1	9606	Homo sapiens	
NPT2299	Cell Line	CAL-51	9606	Homo sapiens	
NPT2300	Cell Line	CAL-54	9606	Homo sapiens	
NPT2301	Cell Line	CAL-62	9606	Homo sapiens	
