id,refcode,type,fulltext,address,author,booktitle,comment,edition,editor,journal,month,note,number,pages,publisher,school,title,url,volume,year
39,g72,book,"Grinnell, George Bird, 1972, The Cheyenne Indians - Their History and Ways of Life Vol.2, Lincoln. University of Nebraska Press",Lincoln,"Grinnell, George Bird",,,,,,,,,,"University of Nebraska Press",,"The Cheyenne Indians - Their History and Ways of Life Vol.2",,,1972
40,gl80,book,"Goodrich, Jennie and Claudia Lawson, 1980, Kashaya Pomo Plants, Los Angeles. American Indian Studies Center, University of California, Los Angeles","University of California, Los Angeles","Goodrich, Jennie and Claudia Lawson",,,,,,,,,,"American Indian Studies Center",,"Kashaya Pomo Plants, Los Angeles",,,1980
41,te82,book,"Turner, Nancy J. and Barbara S. Efrat, 1982, Ethnobotany of the Hesquiat Indians of Vancouver Island, Victoria. British Columbia Provincial Museum",Victoria,"Turner, Nancy J. and Barbara S. Efrat",,,,,,,,,,"British Columbia Provincial Museum",,"Ethnobotany of the Hesquiat Indians of Vancouver Island",,,1982
42,m09,article,"McClintock, Walter, 1909, Medizinal- Und Nutzpflanzen Der Schwarzfuss Indianer, Zeitschriff fur Ethnologie 41:273-9",,"McClintock, Walter",,,,,"Zeitschriff fur Ethnologie",,,,273-9,,,"Medizinal- Und Nutzpflanzen Der Schwarzfuss Indianer",,41,1909
43,smith33,article,"Smith, Huron H., 1933, Ethnobotany of the Forest Potawatomi Indians, Bulletin of the Public Museum of the City of Milwaukee 7:1-230",,"Smith, Huron H.",,,,,"Bulletin of the Public Museum of the City of Milwaukee",,,,1-230,,,"Ethnobotany of the Forest Potawatomi Indians",,7,1933
44,r32,article,"Ray, Verne F., 1932, The Sanpoil and Nespelem:  Salishan Peoples of Northeastern Washington, University of Washington Publications in Anthropology, Vol. 5",,"Ray, Verne F.",,,,,"University of Washington Publications in Anthropology",,,,,,,"The Sanpoil and Nespelem: Salishan Peoples of Northeastern Washington",,5,1932
45,r29,article,"Reagan, Albert B., 1929, Plants Used by the White Mountain Apache Indians of Arizona, Wisconsin Archeologist 8:143-61.",,"Reagan, Albert B.",,,,,"Wisconsin Archeologist",,,,143-61,,,"Plants Used by the White Mountain Apache Indians of Arizona",,8,1929
46,c57i,article,"Curtin, L. S. M., 1957, Some Plants Used by the Yuki Indians ... I. Historical Review and Medicinal Plants, The Masterkey 31:40-48",,"Curtin, L. S. M.",,,,,"The Masterkey",,,,40-48,,,"Some Plants Used by the Yuki Indians ... I. Historical Review and Medicinal Plants",,31,1957
47,l85,book,"Leighton, Anna L., 1985, Wild Plant Use by the Woods Cree (Nihithawak) of East-Central Saskatchewan, Ottawa. National Museums of Canada. Mercury Series",Ottawa,"Leighton, Anna L.",,,,,,,"Mercury Series",,,"National Museums of Canada",,"Wild Plant Use by the Woods Cree (Nihithawak) of East-Central Saskatchewan",,,1985
48,g36,article,"Gifford, E. W., 1936, Northeastern and Western Yavapai, University of California Publications in American Archaeology and Ethnology 34:247-345",,"Gifford, E. W.",,,,,"University of California Publications in American Archaeology and Ethnology",,,,247-345,,,"Northeastern and Western Yavapai",,34,1936
49,speck41,article,"Speck, Frank G., 1941, A List of Plant Curatives Obtained From the Houma Indians of Louisiana, Primitive Man 14:49-75",,"Speck, Frank G.",,,,,"Primitive Man",,,,49-75,,,"A List of Plant Curatives Obtained From the Houma Indians of Louisiana",,14,1941
50,f89,book,"Fowler, Catherine S., 1989, Willards Z. Park's Ethnographic Notes on the Northern Paiute of Western Nevada 1933-1940, Salt Lake City. University of Utah Press","Salt Lake City","Fowler, Catherine S.",,,,,,,,,,"University of Utah Press",,"Willards Z. Park's Ethnographic Notes on the Northern Paiute of Western Nevada 1933-1940",,,1989
51,s23,article,"Smith, Huron H., 1923, Ethnobotany of the Menomini Indians, Bulletin of the Public Museum of the City of Milwaukee 4:1-174",,"Smith, Huron H.",,,,,"Bulletin of the Public Museum of the City of Milwaukee",,,,1-174,,,"Ethnobotany of the Menomini Indians",,4,1923
52,b74,book,"Basehart, Harry W., 1974, Apache Indians XII. Mescalero Apache Subsistence Patterns and Socio-Political Organization, New York. Garland Publishing Inc.","New York","Basehart, Harry W.",,,,,,,,,,"Garland Publishing Inc",,"Apache Indians XII. Mescalero Apache Subsistence Patterns and Socio-Political Organization",,,1974
53,t73,article,"Turner, Nancy J., 1973, The Ethnobotany of the Bella Coola Indians of British Columbia, Syesis 6:193-220",,"Turner, Nancy J.",,,,,Syesis,,,,193-220,,,"The Ethnobotany of the Bella Coola Indians of British Columbia",,6,1973
54,j83,book,"Jones, Anore, 1983, Nauriat Niginaqtuat = Plants That We Eat, Kotzebue, Alaska.  Maniilaq Association Traditional Nutrition Program","Kotzebue, Alaska","Jones, Anore",,,,,,,,,,"Maniilaq Association Traditional Nutrition Program",,"Nauriat Niginaqtuat = Plants That We Eat",,,1983
55,p52,article,"Perry, F., 1952, Ethno-Botany of the Indians in the Interior of British Columbia, Museum and Art Notes 2(2):36-43.",,"Perry, F.",,,,,"Museum and Art Notes",,,2,36-43,,,"Ethno-Botany of the Indians in the Interior of British Columbia",,2,1952
56,h91,article,"Hoffman, W.J., 1891, The Midewiwin or 'Grand Medicine Society' of the Ojibwa, SI-BAE Annual Report #7",,"Hoffman, W. J.",,,,,"SI-BAE Annual Report",,,,,,,"The Midewiwin or 'Grand Medicine Society' of the Ojibwa",,7,1891
57,h81,article,"Hart, Jeffrey A., 1981, The Ethnobotany of the Northern Cheyenne Indians of Montana, Journal of Ethnopharmacology 4:1-55",,"Hart, Jeffrey A.",,,,,"Journal of Ethnopharmacology",,,,1-55,,,"The Ethnobotany of the Northern Cheyenne Indians of Montana",,4,1981
58,bc41,article,"Bell, Willis H and Edward F. Castetter, 1941, Ethnobiological Studies in the Southwest VII.  The Utilization of of Yucca, Sotol and Beargrass by the Aborigines in the American Southwest, University of New Mexico Bulletin 5(5):1-74",,"Bell, Willis H. and Edward F. Castetter",,,,,"University of New Mexico Bulletin",,,5,1-74,,,"Ethnobiological Studies in the Southwest VII. The Utilization of of Yucca, Sotol and Beargrass by the Aborigines in the American Southwest.",,5,1941
59,r45ii,article,"Rousseau, Jacques, 1945, Le Folklore Botanique De Caughnawaga, Contributions de l'Institut botanique l'Universite de Montreal 55:7-72",,"Rousseau, Jacques",,,,,"Contributions de l'Institut botanique l'Universite de Montreal",,,,7-72,,,"Le Folklore Botanique De Caughnawaga",,55,1945
60,z81,book,"Zigmond, Maurice L., 1981, Kawaiisu Ethnobotany, Salt Lake City. University of Utah Press","Salt Lake City","Zigmond, Maurice L.",,,,,,,,,,"University of Utah Press",,"Kawaiisu Ethnobotany",,,1981
61,rhf16,article,"Robbins, W.W., J.P. Harrington and B. Freire-Marreco, 1916, Ethnobotany of the Tewa Indians, SI-BAE Bulletin #55",,"Robbins, W. W. and J. P. Harrington and B. Freire-Marreco",,,,,"SI-BAE Bulletin",,,,,,,"Ethnobotany of the Tewa Indians",,55,1916
62,cw45,article,"Carr, Lloyd G. and Carlos Westey, 1945, Surviving Folktales & Herbal Lore Among the Shinnecock Indians, Journal of American Folklore 58:113-123",,"Carr, Lloyd G. and Carlos Westey",,,,,"Journal of American Folklore",,,,113-123,,,"Surviving Folktales & Herbal Lore Among the Shinnecock Indians",,58,1945
63,tb73,article,"Turner, Nancy Chapman and Marcus A. M. Bell, 1973, The Ethnobotany of the Southern Kwakiutl Indians of British Columbia, Economic Botany 27:257-310",,"Turner, Nancy Chapman and Marcus A. M. Bell",,,,,"Economic Botany",,,,257-310,,,"The Ethnobotany of the Southern Kwakiutl Indians of British Columbia",,27,1973
64,w78,article,"Wilson, Michael R., 1978, Notes on Ethnobotany in Inuktitut, The Western Canadian Journal of Anthropology 8:180-196",,"Wilson, Michael R.",,,,,"The Western Canadian Journal of Anthropology",,,,180-196,,,"Notes on Ethnobotany in Inuktitut",,8,1978
65,stew33,article,"Steward, Julian H., 1933, Ethnography of the Owens Valley Paiute, University of California Publications in American Archaeology and Ethnology 33(3):233-250",,"Steward, Julian H.",,,,,"University of California Publications in American Archaeology and Ethnology",,,3,233-250,,,"Ethnography of the Owens Valley Paiute",,33,1933
66,c97,article,"Coville, Frederick V., 1897, Notes On The Plants Used By The Klamath Indians Of Oregon., Contributions from the U.S. National Herbarium 5(2):87-110",,"Coville, Frederick V.",,,,,"Contributions from the US. National Herbarium",,,2,87-110,,,"Notes On The Plants Used By The Klamath Indians Of Oregon",,5,1897
67,b80,book,"Black, Meredith Jean, 1980, Algonquin Ethnobotany:  An Interpretation of Aboriginal Adaptation in South Western Quebec, Ottawa. National Museums of Canada.  Mercury Series Number 65",Ottawa,"Black, Meredith Jean",,,,,,,"Mercury Series Number 65",,,"National Museums of Canada.",,"Algonquin Ethnobotany: An Interpretation of Aboriginal Adaptation in South Western Quebec",,,1980
68,a22,book,"Akana, Akaiko, 1922, Hawaiian Herbs of Medicinal Value, Honolulu: Pacific Book House",Honolulu,"Akana, Akaiko",,,,,,,,,,"Pacific Book House",,"Hawaiian Herbs of Medicinal Value",,,1922
69,c57ii,article,"Curtin, L. S. M., 1957, Some Plants Used by the Yuki Indians ... II. Food Plants, The Masterkey 31:85-94",,"Curtin, L. S. M.",,,,,"The Masterkey",,,,85-94,,,"Some Plants Used by the Yuki Indians ... II. Food Plants",,31,1957
70,b81,mastersthesis,"Baker, Marc A., 1981, The Ethnobotany of the Yurok, Tolowa and Karok Indians of Northwest California, Humboldt State University, M.A. Thesis",,"Baker, Marc A.",,,,,,,,,,,"Humboldt State University","The Ethnobotany of the Yurok, Tolowa and Karok Indians of Northwest California",,,1981
71,sg52,article,"Schenck, Sara M. and E. W. Gifford, 1952, Karok Ethnobotany, Anthropological Records 13(6):377-392",,"Schenck, Sara M. and E. W. Gifford",,,,,"Anthropological Records",,,6,377-392,,,"Karok Ethnobotany",,13,1952
72,f96,article,"Fewkes, J. Walter, 1896, A Contribution to Ethnobotany, American Anthropologist 9:14-21",,"Fewkes, J. Walter",,,,,"American Anthropologist",,,,14-21,,,"A Contribution to Ethnobotany",,9,1896
73,b05,article,"Blankinship, J. W., 1905, Native Economic Plants of Montana, Bozeman. Montana Agricultural College Experimental Station, Bulletin 56",,"Blankinship, J. W.",,,,,"Bozeman Montana Agricultural College Experimental Station",,,,,,,"Native Economic Plants of Montana,",,"Bulletin 56",1905
74,e44,book,"Elmore, Francis H., 1944, Ethnobotany of the Navajo, Sante Fe, NM. School of American Research","Sante Fe, NM","Elmore, Francis H.",,,,,,,,,,"School of American Research",,"Ethnobotany of the Navajo",,,1944
75,s37,article,"Speck, Frank G., 1937, Catawba Medicines and Curative Practices, Publications of the Philadelphia Anthropological Society 1:179-197",,"Speck, Frank G.",,,,,"Publications of the Philadelphia Anthropological Society",,,,179-197,,,"Catawba Medicines and Curative Practices",,1,1937
76,j31,mastersthesis,"Jones, Volney H., 1931, The Ethnobotany of the Isleta Indians, University of New Mexico, M.A. Thesis",,"Jones, Volney H.",,,,,,,,,,,"University of New Mexico","The Ethnobotany of the Isleta Indians",,,1931
77,r36,article,"Reagan, Albert B., 1936, Plants Used by the Hoh and Quileute Indians, Kansas Academy of Science 37:55-70",,"Reagan, Albert B.",,,,,"Kansas Academy of Science",,,,55-70,,,"Plants Used by the Hoh and Quileute Indians",,37,1936
78,sd52,article,"Speck, Frank G. and R.W. Dexter, 1952, Utilization of Animals and Plants by the Malecite Indians of New Brunswick, Journal of the Washington Academy of Sciences 42:1-7",,"Speck, Frank G. and R. W. Dexter",,,,,"Journal of the Washington Academy of Sciences",,,,1-7,,,"Utilization of Animals and Plants by the Malecite Indians of New Brunswick",,42,1952
79,swank32,mastersthesis,"Swank, George R., 1932, The Ethnobotany of the Acoma and Laguna Indians, University of New Mexico, M.A. Thesis",,"Swank, George R.",,,,,,,,,,,"University of New Mexico","The Ethnobotany of the Acoma and Laguna Indians",,,1932
80,g67,article,"Gifford, E. W., 1967, Ethnographic Notes on the Southwestern Pomo, Anthropological Records 25:10-15",,"Gifford, E. W.",,,,,"Anthropological Records",,,,10-15,,,"Ethnographic Notes on the Southwestern Pomo",,25,1967
81,p74,article,"Powers, Stephen, 1874, Aboriginal Botany, Proceedings of the California Academy of Science 5:373-9.",,"Powers, Stephen",,,,,"Proceedings of the California Academy of Science",,,,373-9,,,"Aboriginal Botany",,5,1874
82,c74,incollection,"Colton, Harold S., 1974, Hopi History And Ethnobotany, IN D. A. Horr (ed.) Hopi Indians.  Garland: New York.","New York","Colton, Harold S.","Hopi Indians",,,"D.A. Horr",,,,,,Garland,,"Hopi History And Ethnobotany",,,1974
83,h84,article,"Holmes, E.M., 1884, Medicinal Plants Used by Cree Indians, Hudson's Bay Territory, The Pharmaceutical Journal and Transactions 15:302-304",,"Holmes, E. M.",,,,,"The Pharmaceutical Journal and Transactions",,,,302-304,,,"Medicinal Plants Used by Cree Indians, Hudson's Bay Territory,",,15,1884
84,r47,article,"Rousseau, Jacques, 1947, Ethnobotanique Abenakise, Archives de Folklore 11:145-182",,"Rousseau, Jacques",,,,,"Archives de Folklore",,,,145-182,,,"Ethnobotanique Abenakise",,11,1947
85,hedges86,article,"Hedges, Ken, 1986, Santa Ysabel Ethnobotany, San Diego Museum of Man  Ethnic Technology Notes, No. 20",,"Hedges, Ken",,,,,"San Diego Museum of Man Ethnic Technology Notes",,,,,,,"Santa Ysabel Ethnobotany",,20,1986
86,perry75,phdthesis,"Perry, Myra Jean, 1975, Food Use of  'Wild'  Plants by Cherokee Indians, The University of Tennessee, M.S. Thesis",,"Perry, Myra Jean",,,,,,,,,,,"The University of Tennessee","Food Use of 'Wild' Plants by Cherokee Indians",,,1975
87,b86,book,"Buskirk, Winfred, 1986, The Western Apache:  Living With the Land Before 1950, Norman. University of Oklahoma Press",Norman,"Buskirk, Winfred",,,,,,,,,,"University of Oklahoma Press",,"The Western Apache: Living With the Land Before 1950",,,1986
88,s54,phdthesis,"Sturtevant, William, 1954, The Mikasuki Seminole:  Medical Beliefs and Practices, Yale University, PhD Thesis",,"Sturtevant, William",,,,,,,,,,,"Yale University","The Mikasuki Seminole: Medical Beliefs and Practices",,,1954
89,c02,article,"Chestnut, V. K., 1902, Plants Used by the Indians of Mendocino County, California, Contributions from the U.S. National Herbarium 7:295-408.",,"Chestnut, V. K.",,,,,"Contributions from the US. National Herbarium",,,,295-408,,,"Plants Used by the Indians of Mendocino County, California,",,7,1902
90,w45,article,"White, Leslie A, 1945, Notes on the Ethnobotany of the Keres, Papers of the Michigan Academy of Arts, Sciences and Letters 30:557-568",,"White, Leslie A.",,,,,"Papers of the Michigan Academy of Arts, Sciences and Letters",,,,557-568,,,"Notes on the Ethnobotany of the Keres",,30,1945
91,g13i,article,"Gilmore, Melvin R., 1913, Some Native Nebraska Plants With Their Uses by the Dakota, Collections of the Nebraska State Historical Society 17:358-70",,"Gilmore, Melvin R.",,,,,"Collections of the Nebraska State Historical Society",,,,358-70,,,"Some Native Nebraska Plants With Their Uses by the Dakota",,17,1913
92,palmer75,article,"Palmer, Gary, 1975, Shuswap Indian Ethnobotany, Syesis 8:29-51",,"Palmer, Gary",,,,,Syesis,,,,29-51,,,"Shuswap Indian Ethnobotany",,8,1975
93,mech59,article,"Mechling, W.H., 1959, The Malecite Indians With Notes on the Micmacs, Anthropologica 8:239-263",,"Mechling, W. H.",,,,,Anthropologica,,,,239-263,,,"The Malecite Indians With Notes on the Micmacs",,8,1959
94,s73,article,"Smith, G. Warren, 1973, Arctic Pharmacognosia, Arctic 26:324-333",,"Smith, G. Warren",,,,,Arctic,,,,324-333,,,"Arctic Pharmacognosia",,26,1973
95,co36,article,"Castetter, Edward F. and M. E. Opler, 1936, Ethnobiological Studies in the American Southwest III. The Ethnobiology of the Chiricahua and Mescalero Apache, University of New Mexico Bulletin 4(5):1-63",,"Castetter, Edward F. and M. E. Opler",,,,,", University of New Mexico Bulletin",,,5,1-63,,,"Ethnobiological Studies in the American Southwest III. The Ethnobiology of the Chiricahua and Mescalero Apache",,4,1936
96,b52,article,"Barrett, S. A., 1952, Material Aspects of Pomo Culture, Bulletin of the Public Museum of the City of Milwaukee 20",,"Barrett, S. A.",,,,,"Bulletin of the Public Museum of the City of Milwaukee",,,,,,,"Material Aspects of Pomo Culture",,20,1952
97,t72,article,"Tantaquidgeon, Gladys, 1972, Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg. Pennsylvania Historical Commission Anthropological Papers #3",,"Tantaquidgeon, Gladys",,,,,"Pennsylvania Historical Commission Anthropological Papers",,,,,,,"Folk Medicine of the Delaware and Related Algonkian Indians, Harrisburg",,3,1972
