id,name,common_names,usda_code,family,family_apg
43,"Achillea sibirica Ledeb.","Siberian Yarrow",ACSI,Asteraceae,Asteraceae
44,"Achillea sp.","","",Asteraceae,Asteraceae
45,"Achlys triphylla (Sm.) DC.","Sweet After Death",ACTR,Berberidaceae,Berberidaceae
46,"Achnatherum hymenoides (Roemer & J.A. Schultes) Barkworth","Indian Ricegrass",ACHY,Poaceae,Poaceae
47,"Achnatherum robustum (Vasey) Barkworth",Sleepygrass,ACRO7,Poaceae,Poaceae
48,"Achnatherum speciosum (Trin. & Rupr.) Barkworth","Desert Needlegrass",ACSP12,Poaceae,Poaceae
49,"Aconitum columbianum Nutt.","Columbian Monkshood",ACCOC3,Ranunculaceae,Ranunculaceae
50,"Aconitum delphiniifolium DC.","Larkspurleaf Monkshood",ACDED3,Ranunculaceae,Ranunculaceae
51,"Aconitum fischeri","Fischer Monkshood",ACFI3,Ranunculaceae,Ranunculaceae
52,"Aconitum heterophyllum","","",Ranunculaceae,Ranunculaceae
53,"Aconitum maximum Pallas ex DC.","Kamchatka Aconite",ACMA4,Ranunculaceae,Ranunculaceae
54,"Aconitum sp.",Monkshood,"",Ranunculaceae,Ranunculaceae
55,"Acorus calamus L.",Calamus,ACAM,Acoraceae,Acoraceae
56,"Acourtia microcephala DC.",Sacapellote,ACMI3,Asteraceae,Asteraceae
57,"Acourtia wrightii (Gray) Reveal & King",Brownfoot,ACWR5,Asteraceae,Asteraceae
58,"Acrostichum danaeifolium Langsd. & Fisch.","Inland Leatherfern",ACDA,Pteridaceae,""
59,"Actaea pachypoda Ell.","White Baneberry",ACPA,Ranunculaceae,Ranunculaceae
60,"Actaea racemosa var. racemosa","Black Bugbane","",Ranunculaceae,Ranunculaceae
61,"Actaea rubra (Ait.) Willd.","Red Baneberry",ACRUR2,Ranunculaceae,Ranunculaceae
62,"Actaea rubra ssp. arguta (Nutt.) Hult‚n","Red Baneberry",ACRUA8,Ranunculaceae,Ranunculaceae
63,"Actaea rubra ssp. rubra","Red Baneberry",ACRUR2,Ranunculaceae,Ranunculaceae
64,"Actaea sp.","","",Ranunculaceae,Ranunculaceae
65,"Adenocaulon bicolor Hook.","American Trailplant",ADBI,Asteraceae,Asteraceae
66,"Adenostoma fasciculatum Hook. & Arn.","Common Chamise",ADFAF,Rosaceae,Rosaceae
67,"Adenostoma sparsifolium Torr.",Redshank,ADSP,Rosaceae,Rosaceae
68,"Adiantum aleuticum (Rupr.) Paris","Aleutian Maidenhair",ADAL,Pteridaceae,""
69,"Adiantum capillus-veneris L.","Common Maidenhair",ADCA,Pteridaceae,""
70,"Adiantum jordanii C. Muell.","California Maidenhair",ADJO,Pteridaceae,""
71,"Adiantum pedatum L.","Northern Maidenhair",ADPE,Pteridaceae,""
72,"Adiantum sp.","Maidenhair Fern","",Pteridaceae,""
73,"Aesculus californica (Spach) Nutt.","California Buckeye",AECA,Hippocastanaceae,Sapindaceae
74,"Aesculus flava Ait.","Yellow Buckeye",AEFL,Hippocastanaceae,Sapindaceae
75,"Aesculus glabra var. arguta (Buckl.) B.L. Robins.","Ohio Buckeye",AEGLA,Hippocastanaceae,Sapindaceae
76,"Aesculus glabra Willd.","Ohio Buckeye",AEGLG,Hippocastanaceae,Sapindaceae
77,"Aesculus hippocastanum L.","Horse Chestnut",AEHI,Hippocastanaceae,Sapindaceae
78,"Aesculus pavia L.","Red Buckeye",AEPAP,Hippocastanaceae,Sapindaceae
79,"Aesculus sp.",Buckeye,"",Hippocastanaceae,Sapindaceae
80,"Agalinis tenuifolia var. tenuifolia","Slenderleaf False Foxglove",AGTET,Scrophulariaceae,Orobanchaceae
81,"Agaricus campestris","","",Agaricaceae,""
82,"Agaricus silvicola","Deer Mushroom","",Agaricaceae,""
83,"Agaricus sp.","","",Agaricaceae,""
84,"Agastache foeniculum (Pursh) Kuntze","Blue Giant Hyssop",AGFO,Lamiaceae,Lamiaceae
85,"Agastache nepetoides (L.) Kuntze","Yellow Giant Hyssop",AGNE2,Lamiaceae,Lamiaceae
86,"Agastache pallidiflora ssp. neomexicana var. neomexicana (Briq.) R.W. Sanders","New Mexico Giant Hyssop",AGPAN2,Lamiaceae,Lamiaceae
87,"Agastache scrophulariifolia (Willd.) Kuntze","Purple Giant Hyssop",AGSC,Lamiaceae,Lamiaceae
88,"Agastache urticifolia (Benth.) Kuntze","Nettleleaf Giant Hyssop",AGURU,Lamiaceae,Lamiaceae
89,"Agave americana L.","American Century Plant",AGAMA2,Agavaceae,Asparagaceae
90,"Agave decipiens Baker","False Sisal",AGDE3,Agavaceae,Asparagaceae
91,"Agave deserti Engelm.","Desert Agave",AGDED,Agavaceae,Asparagaceae
92,"Agave lechuguilla Torr.",Lechuguilla,AGLE,Agavaceae,Asparagaceae
93,"Agave palmeri Engelm.","Palmer's Century Plant",AGPA3,Agavaceae,Asparagaceae
94,"Agave parryi Engelm.","Parry's Agave",AGPAP5,Agavaceae,Asparagaceae
95,"Agave schottii Engelm.","Schott's Century Plant",AGSCS2,Agavaceae,Asparagaceae
96,"Agave sp.",Mescal,"",Agavaceae,Asparagaceae
97,"Agave utahensis Engelm.","Utah Agave",AGUTU,Agavaceae,Asparagaceae
98,"Ageratina altissima var. altissima","White Snakeroot",AGALA,Asteraceae,Asteraceae
99,"Ageratina altissima var. roanensis (Small) Clewell & Woot.","White Snakeroot",AGALR,Asteraceae,Asteraceae
100,"Ageratina herbacea (Gray) King & H.E. Robins.","Fragrant Snakeroot",AGHE5,Asteraceae,Asteraceae
101,"Ageratina occidentalis (Hook.) King & H.E. Robins.","Western Snakeroot",AGOC2,Asteraceae,Asteraceae
102,"Agoseris aurantiaca (Hook.) Greene","Orange Agoseris",AGAUA,Asteraceae,Asteraceae
103,"Agoseris aurantiaca var. aurantiaca","Orange Agoseris",AGAUA,Asteraceae,Asteraceae
104,"Agoseris aurantiaca var. purpurea (Gray) Cronq.","Orange Agoseris",AGAUP,Asteraceae,Asteraceae
105,"Agoseris glauca (Pursh) Raf.","Pale Agoseris",AGGLG,Asteraceae,Asteraceae
106,"Agoseris glauca var. dasycephala (Torr. & Gray) Jepson","Pale Agoseris",AGGLD,Asteraceae,Asteraceae
107,"Agoseris retrorsa (Benth.) Greene","Spearleaf Agoseris",AGRE,Asteraceae,Asteraceae
108,"Agoseris sp.","","",Asteraceae,Asteraceae
109,"Agrimonia gryposepala Wallr.","Tall Hairy Agrimony",AGGR2,Rosaceae,Rosaceae
110,"Agrimonia parviflora Ait.",Harvestlice,AGPA6,Rosaceae,Rosaceae
111,"Agrimonia sp.","","",Rosaceae,Rosaceae
112,"Agropyron sp.","Wheat Grass","",Poaceae,Poaceae
113,"Agrostis perennans (Walt.) Tuckerman","Upland Bentgrass",AGPE,Poaceae,Poaceae
114,"Alaria marginata Postels & Ruprecht","Short Kelp","",Alariaceae,""
115,"Alcea rosea L.",Hollyhock,ALRO3,Malvaceae,Malvaceae
116,"Alectoria fremontii Tuckerm.","Black Moss","",Usneaceae,""
117,"Alectoria jubata Acharius.","Black Moss","",Usneaceae,""
118,"Alectoria jubata L.","Black Tree Moss","",Usneaceae,""
119,"Alectoria nigricans (Ach.) Nyl.","Caribou Moss","",Usneaceae,""
120,"Alectoria nitidula (Th. Fr.) Vain","Caribou Moss","",Usneaceae,""
121,"Alectoria ochroleuca (Hoffm.) Massal.","Caribou Moss","",Usneaceae,""
122,"Alectoria sarmentosa (L.) Ach.","","",Usneaceae,""
123,"Alectoria sp.","Tree Lichens","",Usneaceae,""
124,"Aletes acaulis (Torr.) Coult. & Rose","Stemless Indian Parsley",ALAC2,Apiaceae,Apiaceae
125,"Aletes anisatus (Gray) Theobald & Tseng","Rocky Mountain Indian Parsley",ALAN3,Apiaceae,Apiaceae
126,"Aletris farinosa L.","White Colicroot",ALFA2,Liliaceae,Nartheciaceae
127,"Aleurites moluccana (L.) Willd.","Indian Walnut",ALMO2,Euphorbiaceae,Euphorbiaceae
128,"Alisma plantago-aquatica L.","American Waterplantain",ALPL,Alismataceae,Alismataceae
129,"Alisma subcordatum Raf.","American Water Plantain",ALSU,Alismataceae,Alismataceae
130,"Allenrolfea occidentalis (S. Wats.) Kuntze",Iodinebush,ALOC2,Chenopodiaceae,Amaranthaceae
131,"Allionia incarnata L.","Trailing Windmills",ALINI,Nyctaginaceae,Nyctaginaceae
132,"Allium acuminatum Hook.","Tapertip Onion",ALAC4,Liliaceae,Nartheciaceae
133,"Allium anceps Kellogg","Twinleaf Onion",ALAN,Liliaceae,Nartheciaceae
134,"Allium bisceptrum S. Wats.","Twincrest Onion",ALBIB,Liliaceae,Nartheciaceae
135,"Allium bisceptrum var. palmeri (S. Wats.) Cronq.","Aspen Onion",ALBIP,Liliaceae,Nartheciaceae
136,"Allium bolanderi S. Wats.","Bolander's Onion",ALBOB,Liliaceae,Nartheciaceae
137,"Allium brevistylum S. Wats.","Shortstyle Onion",ALBR2,Liliaceae,Nartheciaceae
138,"Allium canadense L.","Meadow Garlic",ALCAC,Liliaceae,Nartheciaceae
139,"Allium canadense var. mobilense (Regel) Ownbey","Meadow Garlic",ALCAM,Liliaceae,Nartheciaceae
140,"Allium cepa L.","Garden Onion",ALCEC,Liliaceae,Nartheciaceae
141,"Allium cernuum Roth","Nodding Onion",ALCEC2,Liliaceae,Nartheciaceae
142,"Allium cernuum var. obtusum Cockerell ex J.F. Macbr.","Nodding Onion",ALCEO,Liliaceae,Nartheciaceae
143,"Allium dichlamydeum Greene","Coastal Onion",ALDI2,Liliaceae,Nartheciaceae
144,"Allium douglasii Hook.","Douglas' Onion",ALDO,Liliaceae,Nartheciaceae
145,"Allium drummondii Regel","Drummond's Onion",ALDR,Liliaceae,Nartheciaceae
146,"Allium falcifolium Hook. & Arn.","Scytheleaf Onion",ALFA3,Liliaceae,Nartheciaceae
147,"Allium geyeri S. Wats.","Geyer's Onion",ALGEG,Liliaceae,Nartheciaceae
148,"Allium geyeri var. tenerum M.E. Jones","Bulbil Onion",ALGET,Liliaceae,Nartheciaceae
149,"Allium hyalinum Curran","Glassy Onion",ALHY,Liliaceae,Nartheciaceae
150,"Allium lacunosum S. Wats.","Pitted Onion",ALLAL,Liliaceae,Nartheciaceae
151,"Allium macropetalum Rydb.","Largeflower Wild Onion",ALMA4,Liliaceae,Nartheciaceae
152,"Allium nevadense S. Wats.","Nevada Onion",ALNE,Liliaceae,Nartheciaceae
153,"Allium parvum Kellogg","Small Onion",ALPA3,Liliaceae,Nartheciaceae
154,"Allium peninsulare J.G. Lemmon ex Greene","Mexicali Onion",ALPEP2,Liliaceae,Nartheciaceae
155,"Allium platycaule S. Wats.","Broadstemmed Onion",ALPL2,Liliaceae,Nartheciaceae
156,"Allium pleianthum S. Wats.","Manyflower Onion",ALPL3,Liliaceae,Nartheciaceae
157,"Allium sativum L.","Cultivated Garlic",ALSA2,Liliaceae,Nartheciaceae
158,"Allium schoenoprasum L.","Wild Chives",ALSCS2,Liliaceae,Nartheciaceae
159,"Allium schoenoprasum var. sibiricum (L.) Hartman","Wild Chives",ALSCS,Liliaceae,Nartheciaceae
160,"Allium sp.",Onion,"",Liliaceae,Nartheciaceae
161,"Allium stellatum Nutt. ex Ker-Gawl.","Autumn Onion",ALST,Liliaceae,Nartheciaceae
162,"Allium textile A. Nels. & J.F. Macbr.","Textile Onion",ALTE,Liliaceae,Nartheciaceae
163,"Allium tricoccum Ait.","Wild Leek",ALTR3,Liliaceae,Nartheciaceae
164,"Allium unifolium Kellogg","Oneleaf Onion",ALUN,Liliaceae,Nartheciaceae
165,"Allium validum S. Wats.","Pacific Onion",ALVA,Liliaceae,Nartheciaceae
166,"Allium vineale L.","Wild Garlic",ALVIV,Liliaceae,Nartheciaceae
167,"Alnus glutinosa (L.) Gaertn.","European Alder",ALGL2,Betulaceae,Betulaceae
168,"Alnus incana (L.) Moench","Mountain Alder",ALINR,Betulaceae,Betulaceae
169,"Alnus incana ssp. rugosa (Du Roi) Clausen","Speckled Alder",ALINR,Betulaceae,Betulaceae
170,"Alnus incana ssp. tenuifolia (Nutt.) Breitung","Thinleaf Alder",ALINT,Betulaceae,Betulaceae
171,"Alnus rhombifolia Nutt.","White Alder",ALRH2,Betulaceae,Betulaceae
172,"Alnus rubra Bong.","Red Alder",ALRU2,Betulaceae,Betulaceae
173,"Alnus serrulata (Ait.) Willd.","Hazel Alder",ALSE2,Betulaceae,Betulaceae
174,"Alnus sp.",Alder,"",Betulaceae,Betulaceae
175,"Alnus viridis (Vill.) Lam. & DC.","Sitka Alder",ALVIC,Betulaceae,Betulaceae
176,"Alnus viridis ssp. crispa (Ait.) Turrill","American Green Alder",ALVIC,Betulaceae,Betulaceae
177,"Alnus viridis ssp. sinuata (Regel) A.& D. L”ve","Sitka Alder",ALVIS,Betulaceae,Betulaceae
178,"Alocasia macrorrhizos (L.) Schott","Giant Taro",ALMA11,Araceae,Araceae
179,"Alopecurus aequalis var. aequalis","Shortawn Foxtail",ALAEA,Poaceae,Poaceae
180,"Aloysia wrightii Heller ex Abrams","Wright's Beebrush",ALWR,Verbenaceae,Verbenaceae
181,"Alyxia oliviformis Gaud.",Maile,ALOL2,Apocynaceae,Apocynaceae
182,"Amanita muscaria",Amanita,"",Amanitaceae,""
183,"Amaranthus acanthochiton Sauer",Greenstripe,AMAC,Amaranthaceae,Amaranthaceae
184,"Amaranthus albus L.","Prostrate Pigweed",AMAL,Amaranthaceae,Amaranthaceae
185,"Amaranthus arenicola I.M. Johnston","Sandhill Amaranth",AMAR,Amaranthaceae,Amaranthaceae
186,"Amaranthus blitoides S. Wats.","Mat Amaranth",AMBL,Amaranthaceae,Amaranthaceae
187,"Amaranthus caudatus L.",Love-lies-bleeding,AMCA3,Amaranthaceae,Amaranthaceae
188,"Amaranthus cruentus L.","Red Amaranth",AMCR4,Amaranthaceae,Amaranthaceae
189,"Amaranthus fimbriatus (Torr.) Benth. ex S. Wats.","Fringed Amaranth",AMFIF,Amaranthaceae,Amaranthaceae
190,"Amaranthus hybridus L.","Slim Amaranth",AMHY,Amaranthaceae,Amaranthaceae
191,"Amaranthus palmeri S. Wats.",Carelessweed,AMPA,Amaranthaceae,Amaranthaceae
192,"Amaranthus powellii S. Wats.","Powell's Amaranth",AMPO2,Amaranthaceae,Amaranthaceae
193,"Amaranthus retroflexus L.","Redroot Amaranth",AMRE,Amaranthaceae,Amaranthaceae
194,"Amaranthus sp.",Amaranth,"",Amaranthaceae,Amaranthaceae
195,"Amaranthus spinosus L.","Spiny Amaranth",AMSP,Amaranthaceae,Amaranthaceae
196,"Ambrosia acanthicarpa Hook.","Flatspine Burr Ragweed",AMAC2,Asteraceae,Asteraceae
197,"Ambrosia ambrosioides (Cav.) Payne","Ambrosia Leaf Burr Ragweed",AMAM2,Asteraceae,Asteraceae
198,"Ambrosia artemisiifolia L.","Annual Ragweed",AMARA2,Asteraceae,Asteraceae
199,"Ambrosia artemisiifolia var. elatior (L.) Descourtils","Annual Ragweed",AMARE,Asteraceae,Asteraceae
200,"Ambrosia chamissonis (Less.) Greene","Silver Burr Ragweed",AMCH4,Asteraceae,Asteraceae
201,"Ambrosia psilostachya DC.","Cuman Ragweed",AMPS,Asteraceae,Asteraceae
202,"Ambrosia tenuifolia Spreng.","Slimleaf Burr Ragweed",AMTE5,Asteraceae,Asteraceae
203,"Ambrosia trifida L.","Great Ragweed",AMTRT2,Asteraceae,Asteraceae
204,"Amelanchier alnifolia (Nutt.) Nutt. ex M. Roemer","Saskatoon Serviceberry",AMALA,Rosaceae,Rosaceae
205,"Amelanchier alnifolia var. alnifolia","Saskatoon Serviceberry",AMALA,Rosaceae,Rosaceae
206,"Amelanchier alnifolia var. cusickii (Fern.) C.L. Hitchc.","Cusick's Serviceberry",AMALC,Rosaceae,Rosaceae
207,"Amelanchier alnifolia var. semiintegrifolia (Hook.) C.L. Hitchc.","Pacific Serviceberry",AMALS,Rosaceae,Rosaceae
208,"Amelanchier arborea (Michx. f.) Fern.","Common Serviceberry",AMARA4,Rosaceae,Rosaceae
209,"Amelanchier arborea var. arborea","Common Serviceberry",AMARA4,Rosaceae,Rosaceae
210,"Amelanchier canadensis (L.) Medik.","Canadian Serviceberry",AMCA4,Rosaceae,Rosaceae
211,"Amelanchier laevis Wieg.","Allegheny Serviceberry",AMLA,Rosaceae,Rosaceae
212,"Amelanchier pallida Greene","Pale Serviceberry",AMPA2,Rosaceae,Rosaceae
213,"Amelanchier sanguinea var. sanguinea","Roundleaf Serviceberry",AMSAS,Rosaceae,Rosaceae
214,"Amelanchier sp.","","",Rosaceae,Rosaceae
215,"Amelanchier stolonifera Wieg.","Running Serviceberry",AMHU2,Rosaceae,Rosaceae
216,"Amelanchier utahensis Koehne","Utah Serviceberry",AMUTU,Rosaceae,Rosaceae
217,"Amelanchier utahensis var. utahensis","Utah Serviceberry",AMUTU,Rosaceae,Rosaceae
218,"Amianthium muscitoxicum (Walt.) Gray",Flypoison,AMMU,Liliaceae,Nartheciaceae
219,"Ammannia coccinea Rottb.","Valley Redstem",AMCO,Lythraceae,Lythraceae
220,"Amoreuxia palmatifida Moc. & Sess‚ ex DC.","Mexican Yellowshow",AMPA3,Bixaceae,Bixaceae
221,"Amorpha canescens Pursh",Leadplant,AMCA6,Fabaceae,Fabaceae
222,"Amorpha fruticosa L.","Desert Indigobush",AMFR,Fabaceae,Fabaceae
223,"Amorpha nana Nutt.","Dwarf Indigobush",AMNA,Fabaceae,Fabaceae
224,"Ampelaster carolinianus (Walt.) Nesom","Climbing Aster",AMCA14,Asteraceae,Asteraceae
225,"Ampelopsis cordata Michx.","Heartleaf Peppervine",AMAC4,Vitaceae,Vitaceae
226,"Amphiachyris dracunculoides (DC.) Nutt.","Prairie Broomweed",AMDR,Asteraceae,Asteraceae
227,"Amphicarpaea bracteata (L.) Fern.","American Hogpeanut",AMBRB,Fabaceae,Fabaceae
228,"Amsinckia douglasiana A. DC.","Douglas' Fiddleneck",AMDO,Boraginaceae,Boraginaceae
229,"Amsinckia lycopsoides Lehm.","Tarweed Fiddleneck",AMLY,Boraginaceae,Boraginaceae
230,"Amsinckia sp.",Fiddleneck,"",Boraginaceae,Boraginaceae
231,"Amsinckia spectabilis Fisch. & C.A. Mey.","Woolly Breeches",AMSP3,Boraginaceae,Boraginaceae
232,"Amsinckia tessellata Gray","Bristly Fiddleneck",AMTET,Boraginaceae,Boraginaceae
233,"Amsonia tomentosa var. tomentosa","Woolly Bluestar",AMTOT,Apocynaceae,Apocynaceae
234,"Anagallis sp.",Pimpernel,"",Primulaceae,Primulaceae
235,"Ananas comosus (L.) Merr.",Pineapple,ANCO30,Bromeliaceae,Bromeliaceae
236,"Anaphalis margaritacea (L.) Benth.","Western Pearlyeverlasting",ANMA,Asteraceae,Asteraceae
237,"Andromeda polifolia L.","Bog Rosemary",ANPOP,Ericaceae,Ericaceae
238,"Andromeda polifolia var. glaucophylla (Link) DC.","Bog Rosemary",ANPOG,Ericaceae,Ericaceae
239,"Andropogon floridanus Scribn.","Florida Bluestem",ANFL,Poaceae,Poaceae
240,"Andropogon gerardii Vitman","Big Bluestem",ANGE,Poaceae,Poaceae
241,"Andropogon glomeratus (Walt.) B.S.P.","Bushy Bluestem",ANGLG2,Poaceae,Poaceae
242,"Andropogon sp.","Broom Grass","",Poaceae,Poaceae
243,"Andropogon virginicus L.","Broomsedge Bluestem",ANVIV,Poaceae,Poaceae
244,"Androsace occidentalis Pursh","Western Rockjasmine",ANOC2,Primulaceae,Primulaceae
245,"Androsace septentrionalis L.","Pygmyflower Rockjasmine",ANSES3,Primulaceae,Primulaceae
246,"Androsace septentrionalis ssp. subulifera (Gray) G.T. Robbins","Pygmyflower Rockjasmine",ANSES4,Primulaceae,Primulaceae
247,"Androsace sp.",Pinetorum,"",Primulaceae,Primulaceae
248,"Anemone canadensis L.","Canadian Anemone",ANCA8,Ranunculaceae,Ranunculaceae
249,"Anemone cylindrica Gray","Candle Anemone",ANCY,Ranunculaceae,Ranunculaceae
250,"Anemone multifida var. hudsoniana DC.","Hudson's Anemone",ANMUH2,Ranunculaceae,Ranunculaceae
251,"Anemone narcissiflora L.","Narcissus Anemone",ANNAM2,Ranunculaceae,Ranunculaceae
252,"Anemone narcissiflora var. villosissima DC.","Narcissus Anemone",ANNAM2,Ranunculaceae,Ranunculaceae
253,"Anemone sp.",Buttercup,"",Ranunculaceae,Ranunculaceae
254,"Anemone virginiana L.","Tall Thimbleweed",ANVIV2,Ranunculaceae,Ranunculaceae
255,"Anemopsis californica (Nutt.) Hook. & Arn.","Yerba Mansa",ANCA10,Saururaceae,Saururaceae
256,"Angadenia berteroi (A. DC.) Miers","Pineland Golden Trumpet",ANBE2,Apocynaceae,Apocynaceae
257,"Angelica archangelica L.","Norwegian Angelica","",Apiaceae,Apiaceae
258,"Angelica arguta Nutt.","Lyall's Angelica",ANAR3,Apiaceae,Apiaceae
259,"Angelica atropurpurea L.","Purplestem Angelica",ANAT,Apiaceae,Apiaceae
260,"Angelica breweri Gray","Brewer's Angelica",ANBR5,Apiaceae,Apiaceae
261,"Angelica dawsonii S. Wats.","Dawson's Angelica",ANDA,Apiaceae,Apiaceae
262,"Angelica genuflexa Nutt.","Kneeling Angelica",ANGE2,Apiaceae,Apiaceae
263,"Angelica hendersonii Coult. & Rose","Henderson's Angelica",ANHE,Apiaceae,Apiaceae
264,"Angelica lineariloba Gray","Poison Angelica",ANLI2,Apiaceae,Apiaceae
265,"Angelica lucida L.","Wild Celery",ANLU,Apiaceae,Apiaceae
266,"Angelica pinnata S. Wats.","Smallleaf Angelica",ANPI2,Apiaceae,Apiaceae
267,"Angelica sp.","","",Apiaceae,Apiaceae
268,"Angelica sylvestris L.","Woodland Angelica","",Apiaceae,Apiaceae
269,"Angelica tomentosa S. Wats.","Woolly Angelica",ANTO,Apiaceae,Apiaceae
270,"Angelica venenosa (Greenway) Fern.","Hairy Angelica",ANVE,Apiaceae,Apiaceae
271,"Annona glabra L.","Pond Apple",ANGL4,Annonaceae,Annonaceae
272,"Annona reticulata L.","Custard Apple",ANRE,Annonaceae,Annonaceae
273,"Antennaria anaphaloides Rydb.","Pearly Pussytoes",ANAN2,Asteraceae,Asteraceae
274,"Antennaria dioica (L.) Gaertn.","Stoloniferous Pussytoes",ANDI3,Asteraceae,Asteraceae
275,"Antennaria howellii Greene","Howell's Pussytoes",ANHOH,Asteraceae,Asteraceae
276,"Antennaria howellii ssp. neodioica (Greene) Bayer","Field Pussytoes",ANHON,Asteraceae,Asteraceae
277,"Antennaria parvifolia Nutt.","Smallleaf Pussytoes",ANMI3,Asteraceae,Asteraceae
278,"Antennaria plantaginifolia (L.) Richards.","Woman's Tobacco",ANPL,Asteraceae,Asteraceae
279,"Antennaria rosea Greene","Rosy Pussytoes",ANROR,Asteraceae,Asteraceae
280,"Antennaria rosulata Rydb.","Kaibab Pussytoes",ANRO3,Asteraceae,Asteraceae
281,"Antennaria sp.","Pussy Toes","",Asteraceae,Asteraceae
282,"Anthemis cotula L.","Stinking Chamomile",ANCO2,Asteraceae,Asteraceae
283,"Anthemis sp.",Camomile,"",Asteraceae,Asteraceae
284,"Anthoxanthum odoratum L.","Sweet Vernalgrass",ANOD,Poaceae,Poaceae
285,"Antidesma pulvinatum Hbd.",Hame,ANPU2,Euphorbiaceae,Euphorbiaceae
286,"Antitrichia curtipendula (Hedw.) Brid.","Hanging Moss","",Leucodontaceae,""
287,"Apiaceae sp.","","",Apiaceae,Apiaceae
288,"Apiastrum angustifolium Nutt.","Mock Parsley",APAN,Apiaceae,Apiaceae
289,"Apios americana Medik.",Groundnut,APAM,Fabaceae,Fabaceae
290,"Apios tuberosum","Potato Bean","",Fabaceae,Fabaceae
